name,state,id,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total
Napa Valley College,California,6,Public,2 Year,NA,1414,1414,9154,9154
Naropa University,Colorado,8,Private,4 Year,12849,32190,44639,32190,44639
Nash Community College,North Carolina,29,Public,2 Year,NA,2900,2900,9700,9700
Nashua Community College,New Hampshire,NH,Public,2 Year,NA,7140,7140,15030,15030
Nashville State Community College,Tennessee,37,Public,2 Year,NA,4395,4395,21301,21301
Nassau Community College,New York,25,Public,2 Year,NA,5880,5880,11230,11230
National Paralegal College,Arizona,4,For Profit,4 Year,NA,7995,7995,7995,7995
National Park College,Arkansas,5,Public,2 Year,NA,2700,2700,4110,4110
National University,California,6,Private,4 Year,NA,16710,16710,16710,16710
National University of Health Sciences,Illinois,36,Private,4 Year,NA,12609,12609,12609,12609
National-Louis University,Illinois,36,Private,4 Year,NA,10710,10710,10710,10710
Naugatuck Valley Community College,Connecticut,9,Public,2 Year,NA,4404,4404,13212,13212
Navajo Technical University,New Mexico,19,Public,2 Year,6270,2360,8630,2360,8630
Navarro College,Texas,23,Public,2 Year,5649,2400,8049,5400,11049
Nazarene Bible College,Colorado,8,Private,4 Year,NA,14700,14700,14700,14700
Nazareth College,New York,25,Private,4 Year,13580,34280,47860,34280,47860
Nebraska Christian College,Nebraska,50,Private,4 Year,9020,21665,26685,21665,26685
Nebraska College of Technical Agriculture,Nebraska,50,Public,2 Year,7449,5036,12454,5036,12454
Nebraska Indian Community College,Nebraska,50,Public,2 Year,NA,5125,5125,5125,5125
Nebraska Methodist College of Nursing and Allied Health,Nebraska,50,Private,4 Year,9586,49048,27634,49048,27634
Nebraska Wesleyan University,Nebraska,50,Private,4 Year,9622,34202,43824,34202,43824
Neosho County Community College,Kansas,16,Public,2 Year,6100,3120,9220,3120,9220
Ner Israel Rabbinical College,Maryland,20,Private,4 Year,6600,12400,48000,12400,48000
Neumann University,Pennsylvania,30,Private,4 Year,13020,31400,44420,31400,44420
Neumont College of Computer Science,Utah,55,For Profit,4 Year,5970,24750,30720,24750,30720
Nevada State College,Nevada,17,Public,4 Year,NA,5438,5438,21458,21458
New Charter University,California,6,For Profit,4 Year,NA,2691,2691,2691,2691
New College of Florida,Florida,11,Public,4 Year,9264,6948,16493,29944,39208
New England College,New Hampshire,NH,Private,4 Year,14222,37914,53836,37914,53836
New England Conservatory of Music,Massachusetts,38,Private,4 Year,15900,48750,64650,48750,64650
New England Culinary Institute,Vermont,51,For Profit,2 Year,10466,22380,32676,22380,32676
New England Institute of Technology,Rhode Island,56,Private,4 Year,13065,29940,43005,29940,43005
New Hampshire Institute of Art,New Hampshire,NH,Private,4 Year,11460,28280,39740,28280,39740
New Hope Christian College,Oregon,54,Private,4 Year,6300,14880,38490,14880,38490
New Jersey City University,New Jersey,45,Public,4 Year,12738,12051,24789,38573,34311
New Jersey Institute of Technology,New Jersey,45,Public,4 Year,13600,21338,30938,32750,46350
New Mexico Highlands University,New Mexico,19,Public,4 Year,7872,6150,14022,10302,49214
New Mexico Institute of Mining and Technology,New Mexico,19,Public,4 Year,8510,7770,16280,22268,30778
New Mexico Junior College,New Mexico,19,Public,2 Year,4350,1452,5802,2486,6546
New Mexico Military Institute,New Mexico,19,Public,2 Year,5576,6797,12373,14469,20045
New Mexico State University,New Mexico,19,Public,4 Year,9252,7368,16620,23508,32760
New Mexico State University at Alamogordo,New Mexico,19,Public,2 Year,NA,2064,2064,5376,5376
New Mexico State University at Carlsbad,New Mexico,19,Public,2 Year,NA,1376,1376,1376,1376
New Mexico State University at Grants,New Mexico,19,Public,2 Year,536,2064,2600,4104,4640
New Orleans Baptist Theological Seminary,Louisiana,49,Private,4 Year,2625,7775,10400,7775,10400
New River Community and Technical College,West Virginia,32,Public,2 Year,NA,4526,4526,7140,7140
New River Community College,Virginia,27,Public,2 Year,NA,4697,4697,10703,10703
New Saint Andrews College,Idaho,15,Private,4 Year,NA,12800,12800,12800,12800
New York Institute of Technology,New York,25,Private,4 Year,14290,36890,51490,36890,51490
New York School of Interior Design,New York,25,Private,4 Year,38300,30834,53834,30834,53834
New York University,New York,25,Private,4 Year,49156,54928,69984,54928,69984
Newberry College,South Carolina,28,Private,4 Year,10666,26424,37090,26424,37090
Newbury College,Massachusetts,38,Private,4 Year,14900,35540,50440,35540,50440
Newman University,Kansas,16,Private,4 Year,8326,30724,39050,30724,39050
NHTI-Concord's Community College,New Hampshire,NH,Public,2 Year,9552,7200,16752,15450,25002
Niagara County Community College,New York,25,Public,2 Year,NA,5027,5027,11615,11615
Niagara University,New York,25,Private,4 Year,13200,33490,46380,33490,46380
Nicholls State University,Louisiana,49,Public,4 Year,9938,7982,21920,9075,48013
Nichols College,Massachusetts,38,Private,4 Year,13950,34800,48750,34800,48750
Nicolet Area Technical College,Wisconsin,35,Public,2 Year,NA,4404,4404,6437,6437
Norco College,California,6,Public,2 Year,NA,1416,1416,8436,8436
Norfolk State University,Virginia,27,Public,4 Year,10360,9490,48850,38449,32178
Normandale Community College,Minnesota,24,Public,2 Year,NA,5789,5789,5789,5789
North Arkansas College,Arkansas,5,Public,2 Year,NA,2850,2850,5790,5790
North Carolina Agricultural and Technical State University,North Carolina,29,Public,4 Year,7624,6612,14236,48822,27446
North Carolina Central University,North Carolina,29,Public,4 Year,8909,6348,15257,48055,27964
North Carolina State University,North Carolina,29,Public,4 Year,11078,9101,20219,28444,39522
North Carolina Wesleyan College,North Carolina,29,Private,4 Year,10800,31000,44900,31000,44900
North Central College,Illinois,36,Private,4 Year,11048,38880,49899,38880,49899
North Central Kansas Technical College,Kansas,16,Public,2 Year,5815,3930,9745,3930,9745
North Central Michigan College,Michigan,26,Public,2 Year,6300,3570,9870,7710,14010
North Central Missouri College,Missouri,47,Public,2 Year,6055,3510,9565,6380,12265
North Central State College,Ohio,33,Public,2 Year,NA,4998,4998,9020,9020
North Central Texas College,Texas,23,Public,2 Year,3970,2730,6700,7980,14850
North Central University,Minnesota,24,Private,4 Year,7400,24240,31640,24240,31640
North Country Community College,New York,25,Public,2 Year,10350,6008,16358,12638,22988
North Dakota State College of Science,North Dakota,53,Public,2 Year,6220,5132,11352,12402,49622
North Dakota State University,North Dakota,53,Public,4 Year,8565,9294,21859,13273,24938
North Florida Community College,Florida,11,Public,2 Year,NA,3219,3219,12095,12095
North Georgia Technical College,Georgia,12,Public,2 Year,4000,3268,7268,5938,9938
North Greenville University,South Carolina,28,Private,4 Year,10240,48750,29990,48750,29990
North Hennepin Community College,Minnesota,24,Public,2 Year,NA,5542,5542,5542,5542
North Idaho College,Idaho,15,Public,2 Year,7500,4245,12145,10815,49315
North Iowa Area Community College,Iowa,34,Public,2 Year,7128,5408,12536,7738,14849
North Lake College,Texas,23,Public,2 Year,NA,2170,2170,5220,5220
North Park University,Illinois,36,Private,4 Year,9866,29480,39056,29480,39056
North Seattle College,Washington,44,Public,2 Year,NA,4027,4027,4462,4462
North Shore Community College,Massachusetts,38,Public,2 Year,NA,6450,6450,13410,13410
Northampton Community College,Pennsylvania,30,Public,2 Year,9094,4380,13474,14100,23484
Northcentral Technical College,Wisconsin,35,Public,2 Year,NA,4026,4026,6039,6039
Northcentral University,California,6,For Profit,4 Year,NA,11064,11064,11064,11064
Northeast Alabama Community College,Alabama,1,Public,2 Year,NA,4740,4740,8610,8610
Northeast Community College,Nebraska,50,Public,2 Year,8605,3480,12085,4635,13240
Northeast Iowa Community College,Iowa,34,Public,2 Year,NA,5432,5432,5992,5992
Northeast Mississippi Community College,Mississippi,31,Public,2 Year,4480,3816,8296,6656,11136
Northeast State Community College,Tennessee,37,Public,2 Year,NA,4451,4451,21357,21357
Northeast Texas Community College,Texas,23,Public,2 Year,6300,2849,9149,6149,12449
Northeast Wisconsin Technical College,Wisconsin,35,Public,2 Year,NA,4473,4473,6486,6486
Northeastern Illinois University,Illinois,36,Public,4 Year,11424,14022,25446,25907,37331
Northeastern Junior College,Colorado,8,Public,2 Year,7080,5072,13852,7910,14990
Northeastern Oklahoma Agricultural and Mechanical College,Oklahoma,78,Public,2 Year,5698,4673,10371,10673,16371
Northeastern State University,Oklahoma,78,Public,4 Year,7638,6650,14288,14720,22358
Northeastern Technical College,South Carolina,28,Public,2 Year,NA,5490,5490,8940,8940
Northeastern University,Massachusetts,38,Private,4 Year,16880,51387,68267,51387,68267
Northern Arizona University,Arizona,4,Public,4 Year,10282,11564,24946,25828,36110
Northern Essex Community College,Massachusetts,38,Public,2 Year,NA,6420,6420,13650,13650
Northern Illinois University,Illinois,36,Public,4 Year,10880,12262,23142,12262,23142
Northern Kentucky University,Kentucky,21,Public,4 Year,10022,10032,20054,48680,29702
Northern Maine Community College,Maine,48,Public,2 Year,7849,3820,11638,6640,14458
Northern Michigan University,Michigan,26,Public,4 Year,10666,10988,38654,16484,27150
Northern New Mexico College,New Mexico,19,Public,4 Year,NA,4765,4765,4765,4765
Northern Oklahoma College,Oklahoma,78,Public,2 Year,7080,4210,11250,10755,21835
Northern State University,South Dakota,46,Public,4 Year,8029,8498,16527,11471,48500
Northern Vermont University,Vermont,51,Public,4 Year,10598,12434,23032,25754,36352
Northern Virginia Community College,Virginia,27,Public,2 Year,NA,5610,5610,11649,11649
Northland College,Wisconsin,35,Private,4 Year,9216,36493,45359,36493,45359
Northland Community & Technical College,Minnesota,24,Public,2 Year,4500,5549,10049,5549,10049
Northland Pioneer College,Arizona,4,Public,2 Year,NA,2310,2310,10740,10740
Northpoint Bible College,Massachusetts,38,Private,4 Year,9500,12580,22080,12580,22080
Northwest Arkansas Community College,Arkansas,5,Public,2 Year,NA,3208,3208,4708,4708
Northwest Christian University,Oregon,54,Private,4 Year,9300,30050,39350,30050,39350
Northwest College,Wyoming,18,Public,2 Year,6090,3420,9510,7932,14022
Northwest College of Art & Design,Washington,44,For Profit,4 Year,NA,20600,20600,20600,20600
Northwest Florida State College,Florida,11,Public,2 Year,NA,3324,3324,11634,11634
Northwest Indian College,Washington,44,Public,2 Year,4950,5445,10395,14310,48260
Northwest Iowa Community College,Iowa,34,Public,2 Year,NA,5070,5070,5370,5370
Northwest Kansas Technical College,Kansas,16,Public,2 Year,4850,8300,13150,8300,13150
Northwest Mississippi Community College,Mississippi,31,Public,2 Year,3550,3000,6550,5400,8950
Northwest Missouri State University,Missouri,47,Public,4 Year,10016,9805,48838,16457,26473
Northwest Nazarene University,Idaho,15,Private,4 Year,7400,29300,36700,29300,36700
Northwest School of Wooden Boatbuilding,Washington,44,Private,4 Year,NA,48500,48500,48500,48500
Northwest State Community College,Ohio,33,Public,2 Year,NA,5102,5102,9942,9942
Northwest Technical College,Minnesota,24,Public,2 Year,NA,5488,5488,5488,5488
Northwest University,Washington,44,Private,4 Year,8630,31540,40210,31540,40210
Northwest Vista College,Texas,23,Public,2 Year,NA,2720,2720,13730,13730
Northwest-Shoals Community College,Alabama,1,Public,2 Year,NA,4695,4695,8565,8565
Northwestern College,Iowa,34,Private,4 Year,9200,31100,40300,31100,40300
Northwestern College,Illinois,36,For Profit,2 Year,12402,49485,30887,49485,30887
Northwestern Connecticut Community College,Connecticut,9,Public,2 Year,NA,4404,4404,13212,13212
Northwestern Health Sciences University,Minnesota,24,Private,4 Year,NA,13380,13380,13380,13380
Northwestern Michigan College,Michigan,26,Public,2 Year,8750,4214,12924,9611,49361
Northwestern Oklahoma State University,Oklahoma,78,Public,4 Year,4780,7036,14916,14153,49933
Northwestern Polytechnic University,California,6,Private,4 Year,6000,10700,16700,10700,16700
Northwestern State University,Louisiana,49,Public,4 Year,8884,8580,21464,48368,28252
Northwestern University,Illinois,36,Private,4 Year,16626,54567,71483,54567,71483
Northwood University: Michigan,Michigan,26,Private,4 Year,10480,27060,37540,27060,37540
Norwalk Community College,Connecticut,9,Public,2 Year,NA,4399,4399,13167,13167
Norwich University,Vermont,51,Private,4 Year,13840,40016,53856,40016,53856
Nossi College of Art,Tennessee,37,For Profit,2 Year,NA,21700,21700,21700,21700
Notre Dame College,Ohio,33,Private,4 Year,9980,30160,40140,30160,40140
Notre Dame de Namur University,California,6,Private,4 Year,14494,35350,49844,35350,49844
Notre Dame of Maryland University,Maryland,20,Private,4 Year,14950,36900,48750,36900,48750
Nova Southeastern University,Florida,11,Private,4 Year,13250,30900,44150,30900,44150
Nueta Hidatsa Sahnish College,North Dakota,53,Public,2 Year,NA,3870,3870,3870,3870
Nunez Community College,Louisiana,49,Public,2 Year,NA,4215,4215,7674,7674
Nyack College,New York,25,Private,4 Year,9450,25350,34800,25350,34800
O'More College of Design,Tennessee,37,Private,4 Year,NA,29880,29880,29880,29880
Oak Hills Christian College,Minnesota,24,Private,4 Year,6984,21314,24298,21314,24298
Oakland City University,Indiana,42,Private,4 Year,9900,24000,33900,24000,33900
Oakland Community College,Michigan,26,Public,2 Year,NA,2960,2960,5540,5540
Oakland University,Michigan,26,Public,4 Year,10100,12606,22706,24230,34330
Oakton Community College,Illinois,36,Public,2 Year,NA,4292,4292,13375,13375
Oakwood University,Alabama,1,Private,4 Year,9312,16720,26032,16720,26032
Oberlin College,Ohio,33,Private,4 Year,16338,55054,71392,55054,71392
Occidental College,California,6,Private,4 Year,15496,54686,70492,54686,70492
Ocean County College,New Jersey,45,Public,2 Year,NA,4515,4515,7695,7695
Odessa College,Texas,23,Public,2 Year,5412,2794,8206,5450,10862
Oglala Lakota College,South Dakota,46,Public,4 Year,NA,3560,3560,3560,3560
Oglethorpe University,Georgia,12,Private,4 Year,13200,38100,51300,38100,51300
Ohio Christian University,Ohio,33,Private,4 Year,8076,23306,31382,23306,31382
Ohio Dominican University,Ohio,33,Private,4 Year,10948,31080,42028,31080,42028
Ohio Northern University,Ohio,33,Private,4 Year,11650,32260,43910,32260,43910
Ohio State University Agricultural Technical Institute,Ohio,33,Public,2 Year,8696,7658,16354,27674,36370
Ohio State University: Columbus Campus,Ohio,33,Public,4 Year,12434,10726,23160,30742,43216
Ohio State University: Lima Campus,Ohio,33,Public,4 Year,NA,7644,7644,27660,27660
Ohio State University: Mansfield Campus,Ohio,33,Public,4 Year,8094,7644,15738,27660,35754
Ohio State University: Marion Campus,Ohio,33,Public,4 Year,NA,7644,7644,27660,27660
Ohio State University: Newark Campus,Ohio,33,Public,4 Year,9268,7644,16912,27660,36928
Ohio Technical College,Ohio,33,For Profit,2 Year,NA,28544,28544,28544,28544
Ohio University,Ohio,33,Public,4 Year,14930,12482,24022,38656,33486
Ohio University: Chillicothe Campus,Ohio,33,Public,4 Year,NA,5060,5060,9596,9596
Ohio University: Eastern Campus,Ohio,33,Public,4 Year,NA,4830,4830,6742,6742
Ohio University: Lancaster Campus,Ohio,33,Public,4 Year,NA,5490,5490,8482,8482
Ohio University: Southern Campus at Ironton,Ohio,33,Public,4 Year,NA,4872,4872,6749,6749
Ohio University: Zanesville Campus,Ohio,33,Public,4 Year,NA,5490,5490,8482,8482
Ohio Valley University,West Virginia,32,Private,4 Year,7980,24800,29880,24800,29880
Ohio Wesleyan University,Ohio,33,Private,4 Year,12430,45760,58480,45760,58480
Ohlone College,California,6,Public,2 Year,NA,1448,1448,8409,8409
Ohr Somayach Tanenbaum Education Center,New York,25,Private,4 Year,9000,9000,49000,9000,49000
Oklahoma Baptist University,Oklahoma,78,Private,4 Year,7350,28258,35608,28258,35608
Oklahoma Christian University,Oklahoma,78,Private,4 Year,8480,22760,30950,22760,30950
Oklahoma City Community College,Oklahoma,78,Public,2 Year,NA,4059,4059,9810,9810
Oklahoma City University,Oklahoma,78,Private,4 Year,8896,31026,39922,31026,39922
Oklahoma Panhandle State University,Oklahoma,78,Public,4 Year,4695,8484,12889,9133,13828
Oklahoma State University,Oklahoma,78,Public,4 Year,8549,9048,21568,24539,33088
Oklahoma State University Institute of Technology: Okmulgee,Oklahoma,78,Public,2 Year,6988,5550,12538,11160,49148
Oklahoma State University: Oklahoma City,Oklahoma,78,Public,2 Year,NA,4479,4479,11559,11559
Oklahoma Wesleyan University,Oklahoma,78,Private,4 Year,8644,26956,35600,26956,35600
Old Dominion University,Virginia,27,Public,4 Year,11620,10872,22492,29772,41392
Olivet College,Michigan,26,Private,4 Year,9590,27700,37290,27700,37290
Olivet Nazarene University,Illinois,36,Private,4 Year,7900,36070,43970,36070,43970
Olympic College,Washington,44,Public,2 Year,5925,4252,10217,4784,10709
Onondaga Community College,New York,25,Public,2 Year,10140,5484,15624,10384,20524
Oral Roberts University,Oklahoma,78,Private,4 Year,9450,27728,37218,27728,37218
Orange Coast College,California,6,Public,2 Year,NA,1438,1438,9568,9568
Orange County Community College,New York,25,Public,2 Year,NA,5288,5288,9974,9974
Orangeburg-Calhoun Technical College,South Carolina,28,Public,2 Year,NA,5750,5750,9200,9200
Oregon College of Art & Craft,Oregon,54,Private,4 Year,NA,34850,34850,34850,34850
Oregon Health & Science University,Oregon,54,Public,4 Year,NA,48216,48216,33666,33666
Oregon Institute of Technology,Oregon,54,Public,4 Year,9058,9987,48045,28056,37114
Oregon State University,Oregon,54,Public,4 Year,12855,11166,24038,30141,42996
Orleans Technical Institute,Pennsylvania,30,Private,2 Year,NA,13601,13601,13601,13601
Otero Junior College,Colorado,8,Public,2 Year,7112,4882,14894,7861,14973
Otis College of Art and Design,California,6,Private,4 Year,15100,44580,59680,44580,59680
Ottawa University,Kansas,16,Private,4 Year,14800,27630,39530,27630,39530
Otterbein University,Ohio,33,Private,4 Year,11258,34974,43132,34974,43132
Ouachita Baptist University,Arkansas,5,Private,4 Year,7880,26790,34670,26790,34670
Our Lady of the Lake College,Louisiana,49,Private,4 Year,NA,16484,16484,16484,16484
Our Lady of the Lake University of San Antonio,Texas,23,Private,4 Year,9602,28740,38342,28740,38342
Owens Community College,Ohio,33,Public,2 Year,NA,5860,5860,10424,10424
Owensboro Community and Technical College,Kentucky,21,Public,2 Year,NA,5310,5310,49000,49000
Oxnard College,California,6,Public,2 Year,NA,1449,1449,9249,9249
Ozark Christian College,Missouri,47,Private,4 Year,6160,12620,49780,12620,49780
Ozarka College,Arkansas,5,Public,2 Year,NA,3640,3640,6580,6580
Ozarks Technical Community College,Missouri,47,Public,2 Year,NA,4000,4000,6760,6760
Pace University,New York,25,Private,4 Year,48200,45280,64480,45280,64480
Pace University: Pleasantville/Briarcliff,New York,25,Private,4 Year,16600,45280,64980,45280,64980
Pacific Lutheran University,Washington,44,Private,4 Year,10790,42066,52856,42066,52856
Pacific Northwest College of Art,Oregon,54,Private,4 Year,12860,38250,51110,38250,51110
Pacific Oaks College,California,6,Private,4 Year,NA,34830,34830,34830,34830
Pacific States University,California,6,Private,4 Year,NA,16005,16005,16005,16005
Pacific Union College,California,6,Private,4 Year,8310,30060,38370,30060,38370
Pacific University,Oregon,54,Private,4 Year,12528,44298,56826,44298,56826
Paier College of Art,Connecticut,9,For Profit,4 Year,NA,49040,49040,49040,49040
Paine College,Georgia,12,Private,4 Year,6662,15595,22257,15595,22257
Palm Beach Atlantic University,Florida,11,Private,4 Year,10120,31450,41570,31450,41570
Palm Beach State College,Florida,11,Public,2 Year,NA,3030,3030,10890,10890
Palo Alto College,Texas,23,Public,2 Year,NA,2660,2660,13670,13670
Palo Verde College,California,6,Public,2 Year,NA,1380,1380,9120,9120
Palomar College,California,6,Public,2 Year,NA,1430,1430,9210,9210
Pamlico Community College,North Carolina,29,Public,2 Year,NA,2323,2323,8083,8083
Panola College,Texas,23,Public,2 Year,5016,2400,7416,5480,10206
Paradise Valley Community College,Arizona,4,Public,2 Year,NA,2580,2580,9810,9810
Paris Junior College,Texas,23,Public,2 Year,5000,2400,7400,5400,10400
Park University,Missouri,47,Private,4 Year,8200,12650,20850,12650,20850
Parkland College,Illinois,36,Public,2 Year,NA,4920,4920,15870,15870
Parsons The New School for Design,New York,25,Private,4 Year,49000,49847,67847,49847,67847
Pasadena City College,California,6,Public,2 Year,NA,1440,1440,9490,9490
Pasco-Hernando State College,Florida,11,Public,2 Year,NA,3155,3155,12032,12032
Passaic County Community College,New Jersey,45,Public,2 Year,NA,5070,5070,8850,8850
Patrick Henry College,Virginia,27,Private,4 Year,10728,27922,38650,27922,38650
Patrick Henry Community College,Virginia,27,Public,2 Year,NA,4730,4730,10658,10658
Paul D. Camp Community College,Virginia,27,Public,2 Year,NA,4730,4730,10768,10768
Paul Quinn College,Texas,23,Private,4 Year,6000,8495,14495,8495,14495
Paul Smith's College,New York,25,Private,4 Year,12240,28484,40724,28484,40724
Pearl River Community College,Mississippi,31,Public,2 Year,4900,3500,8400,5898,10798
Peirce College,Pennsylvania,30,Private,4 Year,NA,49660,49660,49660,49660
Pellissippi State Community College,Tennessee,37,Public,2 Year,NA,4480,4480,13246,13246
Peninsula College,Washington,44,Public,2 Year,NA,5023,5023,9852,9852
Penn Commercial Business and Technical School,Pennsylvania,30,For Profit,2 Year,NA,14909,14909,14909,14909
Penn State Abington,Pennsylvania,30,Public,4 Year,8100,14524,22624,23278,31378
Penn State Altoona,Pennsylvania,30,Public,4 Year,11570,15488,26768,24450,36020
Penn State Beaver,Pennsylvania,30,Public,4 Year,11570,13702,25272,24986,33456
Penn State Berks,Pennsylvania,30,Public,4 Year,12730,15488,27928,24450,37490
Penn State Brandywine,Pennsylvania,30,Public,4 Year,12490,14468,26648,23028,35208
Penn State DuBois,Pennsylvania,30,Public,4 Year,NA,13702,13702,24986,24986
"Penn State Erie, The Behrend College",Pennsylvania,30,Public,4 Year,11570,15488,26768,24450,36020
"Penn State Fayette, The Eberly Campus",Pennsylvania,30,Public,4 Year,NA,13702,13702,24986,24986
Penn State Greater Allegheny,Pennsylvania,30,Public,4 Year,11570,13702,25272,24986,33456
Penn State Harrisburg,Pennsylvania,30,Public,4 Year,13280,15488,28478,24450,37730
Penn State Hazleton,Pennsylvania,30,Public,4 Year,11570,14468,26038,23028,34598
Penn State Lehigh Valley,Pennsylvania,30,Public,4 Year,NA,14468,14468,23028,23028
Penn State Mont Alto,Pennsylvania,30,Public,4 Year,11570,13702,25272,24986,33456
Penn State New Kensington,Pennsylvania,30,Public,4 Year,NA,13702,13702,24986,24986
Penn State Schuylkill,Pennsylvania,30,Public,4 Year,8649,14468,23086,23028,31646
Penn State Shenango,Pennsylvania,30,Public,4 Year,NA,13342,13342,38366,38366
Penn State University Park,Pennsylvania,30,Public,4 Year,11570,49454,30024,34858,46428
Penn State Wilkes-Barre,Pennsylvania,30,Public,4 Year,NA,13586,13586,22170,22170
Penn State Worthington Scranton,Pennsylvania,30,Public,4 Year,NA,14832,14832,23028,23028
Penn State York,Pennsylvania,30,Public,4 Year,NA,14468,14468,23028,23028
Pennsylvania Academy of the Fine Arts,Pennsylvania,30,Private,4 Year,NA,38878,38878,38878,38878
Pennsylvania College of Art and Design,Pennsylvania,30,Private,4 Year,NA,25850,25850,25850,25850
Pennsylvania College of Health Sciences,Pennsylvania,30,Private,4 Year,NA,27662,27662,27662,27662
Pennsylvania College of Technology,Pennsylvania,30,Public,4 Year,11544,16740,28284,23880,35424
Pennsylvania Highlands Community College,Pennsylvania,30,Public,2 Year,NA,5820,5820,11460,11460
Pennsylvania Institute of Technology,Pennsylvania,30,Private,2 Year,6000,13365,48365,13365,48365
Pensacola State College,Florida,11,Public,2 Year,NA,3137,3137,12593,12593
Pepperdine University,California,6,Private,4 Year,15320,53932,69252,53932,69252
Peru State College,Nebraska,50,Public,4 Year,8010,7452,15462,7482,15492
Pfeiffer University,North Carolina,29,Private,4 Year,11226,30234,41460,30234,41460
Philander Smith College,Arkansas,5,Private,4 Year,8250,12414,20664,12414,20664
Phillips Community College of the University of Arkansas,Arkansas,5,Public,2 Year,NA,2910,2910,4740,4740
Phillips School of Nursing at Mount Sinai Beth Israel,New York,25,Private,2 Year,NA,37445,37445,37445,37445
Phoenix College,Arizona,4,Public,2 Year,NA,2580,2580,9810,9810
Piedmont College,Georgia,12,Private,4 Year,10168,25920,36088,25920,36088
Piedmont Community College,North Carolina,29,Public,2 Year,NA,2544,2544,8688,8688
Piedmont International University,North Carolina,29,Private,4 Year,7810,10970,49780,10970,49780
Piedmont Technical College,South Carolina,28,Public,2 Year,NA,5495,5495,7985,7985
Piedmont Virginia Community College,Virginia,27,Public,2 Year,NA,4930,4930,10858,10858
Pierce College,Washington,44,Public,2 Year,NA,4477,4477,5112,5112
Pierpont Community and Technical College,West Virginia,32,Public,2 Year,9980,4949,14898,11472,38452
Pikes Peak Community College,Colorado,8,Public,2 Year,NA,4812,4812,49672,49672
Pillar College,New Jersey,45,Private,4 Year,NA,22100,22100,22100,22100
Pima Community College,Arizona,4,Public,2 Year,NA,2670,2670,9315,9315
Pine Manor College,Massachusetts,38,Private,4 Year,13830,31660,45490,31660,45490
Pine Technical & Community College,Minnesota,24,Public,2 Year,NA,5093,5093,9687,9687
Pinnacle Career Institute: Kansas City,Missouri,47,For Profit,2 Year,NA,21774,21774,21774,21774
Pitt Community College,North Carolina,29,Public,2 Year,NA,2354,2354,8114,8114
Pittsburg State University,Kansas,16,Public,4 Year,7778,7298,15076,49642,26420
Pittsburgh Institute of Aeronautics,Pennsylvania,30,Private,2 Year,NA,15990,15990,15990,15990
Pittsburgh Institute of Mortuary Science,Pennsylvania,30,Private,2 Year,NA,15325,15325,15325,15325
Pitzer College,California,6,Private,4 Year,16844,54056,70900,54056,70900
Plymouth State University,New Hampshire,NH,Public,4 Year,11100,14099,25489,22769,33869
Point Loma Nazarene University,California,6,Private,4 Year,10450,35700,46150,35700,46150
Point Park University,Pennsylvania,30,Private,4 Year,12200,31450,43650,31450,43650
Point University,Georgia,12,Private,4 Year,7900,20600,28500,20600,28500
Polk State College,Florida,11,Public,2 Year,NA,3367,3367,12272,12272
Pomona College,California,6,Private,4 Year,16716,52780,69496,52780,69496
Pontifical Catholic University of Puerto Rico,NA,41,Private,4 Year,1374,5490,6864,5490,6864
Pontifical College Josephinum,Ohio,33,Private,4 Year,10600,23285,33885,23285,33885
Porterville College,California,6,Public,2 Year,NA,1404,1404,7824,7824
Portland Community College,Oregon,54,Public,2 Year,NA,5408,5408,11483,11483
Portland State University,Oregon,54,Public,4 Year,10428,9105,48533,27060,37488
Post University,Connecticut,9,For Profit,4 Year,11600,31050,42650,31050,42650
Potomac State College of West Virginia University,West Virginia,32,Public,2 Year,8524,4488,13012,11376,48900
Prairie State College,Illinois,36,Public,2 Year,NA,5220,5220,13830,13830
Prairie View A&M University,Texas,23,Public,4 Year,8925,10533,48458,24843,33768
Pratt Community College,Kansas,16,Public,2 Year,5641,3428,9069,3728,9369
Pratt Institute,New York,25,Private,4 Year,12622,54970,64492,54970,64492
Presbyterian College,South Carolina,28,Private,4 Year,10480,38660,49140,38660,49140
Prescott College,Arizona,4,Private,4 Year,7700,31485,39495,31485,39495
Presentation College,South Dakota,46,Private,4 Year,9578,48995,29573,48995,29573
Prince George's Community College,Maryland,20,Public,2 Year,NA,4700,4700,10610,10610
Princeton University,New Jersey,45,Private,4 Year,16290,49330,65620,49330,65620
Principia College,Illinois,36,Private,4 Year,11610,29470,41080,29470,41080
Providence Christian College,California,6,Private,4 Year,9694,29372,39066,29372,39066
Providence College,Rhode Island,56,Private,4 Year,14700,50390,65090,50390,65090
Pueblo Community College,Colorado,8,Public,2 Year,NA,5968,5968,48425,48425
Purdue University,Indiana,42,Public,4 Year,10030,9992,20022,28794,38824
Purdue University Northwest,Indiana,42,Public,4 Year,7640,7686,15326,21368,25008
Queens University of Charlotte,North Carolina,29,Private,4 Year,10860,34684,45544,34684,45544
Quincy College,Massachusetts,38,Public,2 Year,NA,7100,7100,7100,7100
Quincy University,Illinois,36,Private,4 Year,10500,28462,38962,28462,38962
Quinebaug Valley Community College,Connecticut,9,Public,2 Year,NA,4399,4399,13167,13167
Quinnipiac University,Connecticut,9,Private,4 Year,14540,47960,62500,47960,62500
