name,state,id,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total
Hendrix College,Arkansas,5,Private,4 Year,12284,45790,58074,45790,58074
Hennepin Technical College,Minnesota,24,Public,2 Year,NA,5148,5148,5148,5148
Henry Ford College,Michigan,26,Public,2 Year,NA,3850,3850,8380,8380
Heritage Christian University,Alabama,1,Private,4 Year,5745,12312,49057,12312,49057
Heritage University,Washington,44,Private,4 Year,NA,49124,49124,49124,49124
Herkimer County Community College,New York,25,Public,2 Year,10128,5320,15448,7950,49078
Hesston College,Kansas,16,Private,2 Year,8800,26900,35700,26900,35700
Hibbing Community College,Minnesota,24,Public,2 Year,3380,5336,8716,5336,8716
High Point University,North Carolina,29,Private,4 Year,14130,35149,49248,35149,49248
Highland Community College,Illinois,36,Public,2 Year,NA,5220,5220,8160,8160
Highland Community College,Kansas,16,Public,2 Year,6528,3030,9558,3510,10038
Highline College,Washington,44,Public,2 Year,NA,4027,4027,4461,4461
Hilbert College,New York,25,Private,4 Year,9350,22400,32150,22400,32150
Hill College,Texas,23,Public,2 Year,3850,2970,6820,4120,7970
Hillsborough Community College,Florida,11,Public,2 Year,NA,3132,3132,11388,11388
Hillsdale College,Michigan,26,Private,4 Year,11000,27577,38577,27577,38577
Hinds Community College,Mississippi,31,Public,2 Year,4120,3130,7250,6210,10290
Hiram College,Ohio,33,Private,4 Year,10290,34300,44590,34300,44590
Hiwassee College,Tennessee,37,Private,2 Year,7987,48571,27558,48571,27558
Hobart and William Smith Colleges,New York,25,Private,4 Year,14785,55255,70040,55255,70040
Hobe Sound Bible College,Florida,11,Private,4 Year,6210,6490,12660,6490,12660
Hocking College,Ohio,33,Public,2 Year,8560,4390,12950,8790,21350
Hodges University,Florida,11,Private,4 Year,NA,21600,21600,21600,21600
Hofstra University,New York,25,Private,4 Year,15948,46760,62708,46760,62708
Hollins University,Virginia,27,Private,4 Year,13520,39035,52555,39035,52555
Holmes Community College,Mississippi,31,Public,2 Year,3080,3110,6480,5690,8770
Holy Apostles College and Seminary,Connecticut,9,Private,4 Year,NA,9670,9670,9670,9670
Holy Cross College,Indiana,42,Private,4 Year,11500,30820,42320,30820,42320
Holy Family University,Pennsylvania,30,Private,4 Year,13576,30346,43922,30346,43922
Holy Names University,California,6,Private,4 Year,13480,39316,52506,39316,52506
Holy Trinity Orthodox Seminary,New York,25,Private,4 Year,5290,7700,12990,7700,12990
Holyoke Community College,Massachusetts,38,Public,2 Year,NA,5760,5760,14840,14840
Hood College,Maryland,20,Private,4 Year,12700,39492,52482,39492,52482
Hope College,Michigan,26,Private,4 Year,10310,34010,44320,34010,44320
Hope International University,California,6,Private,4 Year,10490,33400,43890,33400,43890
Hopkinsville Community College,Kentucky,21,Public,2 Year,NA,5070,5070,21760,21760
Horizon University,California,6,Private,4 Year,NA,7700,7700,7700,7700
Horry-Georgetown Technical College,South Carolina,28,Public,2 Year,NA,5248,5248,10408,10408
Houghton College,New York,25,Private,4 Year,9288,32488,42176,32488,42176
Housatonic Community College,Connecticut,9,Public,2 Year,NA,4394,4394,13162,13162
Houston Baptist University,Texas,23,Private,4 Year,8814,32530,41344,32530,41344
Houston Community College System,Texas,23,Public,2 Year,NA,2031,2031,4686,4686
Howard College,Texas,23,Public,2 Year,4834,2560,7394,5420,10254
Howard Community College,Maryland,20,Public,2 Year,NA,4920,4920,9060,9060
Howard Payne University,Texas,23,Private,4 Year,8386,28090,36476,28090,36476
Howard University,NA,40,Private,4 Year,13895,27056,40951,27056,40951
Hudson County Community College,New Jersey,45,Public,2 Year,NA,5749,5749,14028,14028
Hudson Valley Community College,New York,25,Public,2 Year,NA,5640,5640,12915,12915
